2/10/2019

World Population - Continent Alphabetical, Country by Population Descending
--------------------------------------------------------------------------------------------------
Continent Region,Country,Population
,Total Population for North America,=sum(C182:C212)


South America,"Brazil",209469333
South America,"Colombia",49648685
South America,"Argentina",44494502
South America,"Peru",31989256
South America,"Venezuela, RB",28870195
South America,"Chile",18729160
South America,"Ecuador",17084357
South America,"Bolivia",11353142
South America,"Paraguay",6956071
South America,"Uruguay",3449299
South America,"Guyana",779004
South America,"Suriname",575991
,Total Population for South America,=sum(C216:C226)


